ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
5.4516,62.64828,10.84,9.478,3.194,1.551,3,3,3,1,65.0,10.84
6.45198,32.40404,10.73,11.32,4.054,2.126,3,3,3,1,90.0,11.32
1.44218,51.10791,5.615,6.56,6.325,2.582,3,3,3,2,90.0,6.56
3.3342,31.17976,4.17,3.718,2.63,0.8581,3,3,3,1,65.0,4.17
6.14539,33.87538,1.783,3.884,3.206,2.459,3,3,3,1,90.0,3.884
7.71685,24.69628,2.257,3.034,2.784,1.869,3,3,3,2,90.0,3.034
8.70738,-14.22037,6.169,6.332,5.771,0.9368,3,3,3,1,90.0,6.332
9.44205,49.86114,2.926,4.316,2.841,0.2983,1,3,3,1,90.0,4.316
1.70543,-48.55864,5.396,4.733,3.708,2.47,3,3,3,1,65.0,5.396
2.94778,30.78649,5.982,7.365,3.899,0.667,3,3,3,1,90.0,7.365
3.15667,36.70299,2.911,3.403,2.607,2.995,3,3,3,1,90.0,3.403
3.72582,-69.19715,6.355,9.496,4.869,2.084,3,3,3,1,90.0,9.496
3.77892,-49.80758,3.13,3.645,3.402,2.576,3,3,3,1,90.0,3.645
6.26065,-67.57147,2.775,4.009,3.417,2.759,3,3,3,1,90.0,4.009
6.34936,1.17782,10.33,7.118,2.419,2.339,3,3,3,1,65.0,10.33
7.53816,53.70878,4.191,4.7,3.627,1.75,3,3,3,1,90.0,4.7
8.03631,-24.36845,3.039,4.244,3.409,0.3579,3,3,3,1,90.0,4.244
8.19388,6.29517,2.34,3.186,2.891,1.348,3,3,3,1,90.0,3.186
9.92291,5.64517,12.69,11.11,5.5,2.67,3,3,3,1,65.0,12.69
9.96647,63.26544,19.79,10.47,4.313,2.162,3,3,3,1,65.0,19.79
0.94171,-69.23177,0.9101,3.851,3.563,1.807,1,3,3,1,90.0,3.851
3.9526,-69.40806,1.192,4.009,3.509,1.73,1,3,3,1,90.0,4.009
4.15791,37.1052,3.559,4.48,3.833,2.075,3,3,3,1,90.0,4.48
