ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
339.63722,66.63449,1.366,3.693,,0.061,1,1,2,0,90.0,3.693
338.51667,10.17425,2.784,4.147,,0.0192,1,1,2,0,90.0,4.147
321.33462,46.49576,1.025,3.333,,0.0479,1,1,2,0,90.0,3.333
348.69093,64.88371,1.961,5.135,,0.0701,1,1,2,0,90.0,5.135
352.4976,60.12859,2.665,3.45,,0.16,1,1,2,0,90.0,3.45
346.28468,59.58539,1.828,6.197,,0.0845,2,1,2,0,90.0,6.197
283.04675,-4.71892,1.953,5.335,,0.0298,1,1,2,0,90.0,5.335
350.3494,63.16125,1.901,3.859,,0.292,1,1,2,0,90.0,3.859
334.43285,-52.51753,1.925,3.266,,0.127,1,1,2,0,90.0,3.266
334.20212,60.68842,2.738,4.449,,0.167,1,1,2,0,90.0,4.449
352.04097,61.74309,2.728,3.083,,0.176,1,1,2,0,90.0,3.083
345.89561,64.21063,0.8765,3.023,,0.0503,1,1,2,0,90.0,3.023
270.35008,-39.6177,1.013,3.275,,0.0386,1,1,2,0,90.0,3.275
261.88875,-29.79786,1.55,3.49,,1.06,1,1,3,1,90.0,3.49
336.27111,66.42776,2.995,3.075,,0.0682,3,1,2,0,90.0,3.075
321.94035,-64.79746,0.2216,3.959,,0.0428,1,3,2,0,90.0,3.959
344.09743,63.16102,1.618,4.07,,0.243,1,1,3,1,90.0,4.07
345.11736,63.55255,2.934,3.069,,0.13,1,1,2,0,90.0,3.069
344.23125,62.81122,1.336,4.215,,1.17,1,1,2,0,90.0,4.215
334.07158,55.86899,2.831,3.681,,0.174,1,1,2,0,90.0,3.681
320.95689,52.61039,2.182,3.353,,0.0826,1,1,2,0,90.0,3.353
351.21754,60.26958,2.846,4.671,,0.113,1,1,2,0,90.0,4.671
342.38462,58.57519,1.108,3.005,,0.137,1,1,2,0,90.0,3.005
351.31786,60.7537,2.662,4.751,,0.0874,1,1,2,0,90.0,4.751
349.38691,60.61672,0.4059,3.155,,0.604,1,1,3,1,90.0,3.155
319.8391,59.86479,2.702,3.181,,0.0501,1,1,2,0,90.0,3.181
339.32315,65.87004,2.397,4.275,,0.0745,1,1,2,0,90.0,4.275
342.69031,60.62705,2.31,5.199,,0.115,1,1,2,0,90.0,5.199
278.39667,-2.52017,2.935,5.346,,0.312,1,1,2,0,90.0,5.346
268.305,-19.60985,1.929,4.759,,0.0661,1,1,2,0,90.0,4.759
247.91342,-42.67017,1.65,4.326,,0.104,1,1,2,0,90.0,4.326
343.44247,58.56518,2.956,3.513,,0.0715,1,1,2,0,90.0,3.513
350.31683,59.93794,1.421,4.611,,0.253,1,1,2,0,90.0,4.611
316.84842,54.06521,2.365,3.146,,0.225,1,1,2,0,90.0,3.146
247.02786,-54.38956,1.961,6.03,,0.147,1,1,2,0,90.0,6.03
339.35696,61.94599,0.6203,3.722,,0.0541,1,1,2,0,90.0,3.722
270.45297,-12.23156,1.12,3.189,,0.0164,1,1,2,0,90.0,3.189
353.07193,60.48231,2.842,5.438,,0.146,1,1,2,0,90.0,5.438
278.91472,-14.94559,2.276,5.134,,0.0746,1,1,3,1,90.0,5.134
343.80225,61.42175,1.842,3.02,,0.0525,1,1,2,0,90.0,3.02
341.75372,61.4353,1.643,3.996,,0.0701,1,1,2,0,90.0,3.996
0.11548,64.51937,1.431,4.394,,0.248,1,1,2,0,90.0,4.394
1.33796,70.16614,1.585,3.144,,0.046,1,1,2,0,90.0,3.144
2.13347,68.85727,1.431,4.515,,0.116,1,1,2,0,90.0,4.515
344.3024,58.86942,0.5231,3.798,,0.115,1,1,2,0,90.0,3.798
343.20347,61.92526,1.992,6.673,,0.00908,1,1,2,0,90.0,6.673
348.03269,59.34671,1.926,3.721,,0.135,1,1,2,0,90.0,3.721
259.03755,-41.51486,0.984,6.137,,0.0504,1,1,3,1,90.0,6.137
286.04297,-3.96084,2.758,3.538,,0.0986,1,1,2,0,90.0,3.538
124.30648,-35.27977,2.839,4.33,,0.0824,1,1,2,0,90.0,4.33
319.68944,53.40017,2.641,4.939,,0.0839,1,1,2,0,90.0,4.939
265.73415,-31.15065,0.971,22.15,,1.59,1,1,3,1,90.0,22.15
341.12331,59.10074,2.486,4.086,,0.108,1,1,2,0,90.0,4.086
264.03783,-35.32687,2.826,12.38,,0.636,1,1,3,1,90.0,12.38
228.7413,-62.18153,2.638,3.657,,0.383,1,1,2,0,90.0,3.657
262.05959,-24.43808,0.7247,3.545,,0.0392,1,1,2,0,90.0,3.545
324.63363,58.00818,1.21,3.335,,0.0581,1,1,2,0,90.0,3.335
352.2663,59.63488,1.709,3.78,,0.229,1,1,8,8,90.0,3.78
319.35614,50.80834,2.662,4.291,,0.0631,1,1,2,0,90.0,4.291
352.90059,-12.59931,0.7221,3.199,,0.116,1,1,2,0,90.0,3.199
235.5542,-49.60529,2.609,4.134,,0.31,1,1,2,0,90.0,4.134
347.82326,65.13279,2.804,5.734,,0.0965,1,1,2,0,90.0,5.734
339.95661,62.30768,1.815,3.021,,0.0618,1,1,2,0,90.0,3.021
347.96814,59.09905,0.09656,3.347,,0.175,1,1,2,0,90.0,3.347
307.07238,34.77427,1.358,3.915,,0.261,1,1,3,1,90.0,3.915
353.47539,59.91736,1.795,3.164,,0.136,1,1,2,0,90.0,3.164
313.89761,45.47963,1.044,4.509,,0.13,1,1,2,0,90.0,4.509
345.08073,60.02673,2.997,3.266,,0.108,1,1,2,0,90.0,3.266
353.23577,59.99281,2.922,3.945,,0.0728,1,1,2,0,90.0,3.945
298.25804,-47.34762,0.3143,4.235,,0.311,1,1,2,0,90.0,4.235
283.10126,-4.79859,1.86,3.684,,0.0549,1,1,2,0,90.0,3.684
342.27545,61.83958,1.339,5.725,,0.0733,1,1,2,0,90.0,5.725
299.51521,35.38358,2.512,4.957,,1.16,1,1,3,1,90.0,4.957
311.68351,38.97781,2.496,3.621,,0.172,1,1,2,0,90.0,3.621
341.56294,61.07216,1.011,4.393,,0.114,1,1,2,0,90.0,4.393
299.72923,42.70362,2.397,4.887,,0.101,1,1,2,0,90.0,4.887
346.7492,-32.87606,2.951,4.895,,0.0121,1,1,2,0,90.0,4.895
299.01643,30.39724,2.711,3.477,,0.193,1,1,2,0,90.0,3.477
334.79152,57.82593,2.384,5.852,,0.0698,1,1,2,0,90.0,5.852
299.63879,31.34999,1.692,4.5,0.339,0.486,2,1,8,8,90.0,4.5
338.65441,65.11825,1.091,5.446,,0.0934,1,1,2,0,90.0,5.446
347.20784,66.22214,2.776,3.36,,0.0991,1,1,2,0,90.0,3.36
313.74859,50.51804,1.664,4.33,,0.0932,1,1,2,0,90.0,4.33
299.52289,34.48241,0.4445,3.052,,0.305,1,1,2,0,90.0,3.052
334.16594,65.11121,1.67,3.481,,0.0572,1,1,2,0,90.0,3.481
313.79193,42.76257,1.44,5.771,,0.5,1,1,2,0,90.0,5.771
353.37056,-38.59625,1.594,3.159,,0.0356,1,1,2,0,90.0,3.159
