ra,dec,W3 - W4,W4
219.1948418,-60.715506,1.5139999999999993,8.586
167.1672332,-60.7141849,4.037,-3.321
168.4998308,-60.6070464,2.138000000000001,7.653
168.470117,-60.5983642,1.9209999999999994,7.224
160.9700738,-60.5859814,2.3230000000000004,7.186
164.3713767,-60.5059929,2.575,5.372
218.8024433,-60.4903456,1.7499999999999991,6.963
216.3442856,-60.3457704,2.792,2.609
155.3179585,-60.3415633,4.077,6.208
162.5308306,-60.3316215,2.0809999999999995,7.427
167.0397391,-60.3102077,1.9329999999999998,8.295
166.7552017,-60.2915676,1.6639999999999997,8.773
216.0006508,-60.275936,2.5540000000000003,6.115
231.3408041,-60.2428685,2.339999999999999,7.706
166.2783838,-60.2417539,3.0150000000000006,7.141
178.5248944,-60.2234887,2.1980000000000004,7.846
170.8469569,-60.2178222,3.3790000000000004,6.799
161.9376139,-60.2020623,2.293,4.645
162.8560413,-60.1466862,2.4209999999999994,7.154
167.0581229,-60.10514,1.6620000000000008,7.343
164.6910701,-60.0524682,2.3080000000000007,7.531
160.7266813,-60.0498672,4.456999999999999,3.695
162.9635005,-60.0431019,1.851,6.931
156.0932621,-60.0155359,2.5460000000000003,6.287
161.0400293,-60.0018867,4.6370000000000005,1.619
162.9779347,-59.8904051,1.8010000000000002,7.477
161.6939842,-59.8500857,2.885,4.498
160.0669203,-59.8428705,3.791,3.608
161.8510016,-59.8312912,2.035,5.608
227.9025088,-59.814079,2.6309999999999993,6.453
177.0481226,-59.8075467,2.5189999999999992,6.876
177.0423184,-59.7791065,2.5390000000000006,6.889
163.4761498,-59.7553324,1.8239999999999998,5.274
184.7517853,-59.6138317,2.0729999999999995,5.862
161.8250157,-59.4941188,4.474,4.843
157.1658583,-59.426649,1.641,8.491
165.1194429,-59.4069105,2.723,6.953
205.4115658,-59.3701853,2.4090000000000007,7.984
159.2271258,-59.3570158,2.091,7.69
150.8580101,-59.2930639,2.8469999999999995,7.141
229.7400369,-59.2901969,2.2109999999999994,6.713
207.027839,-59.1005246,2.4610000000000003,8.011
161.0020772,-59.0496861,1.661999999999999,6.82
163.7806095,-59.0386585,2.6949999999999994,7.533
223.7526891,-59.0188804,5.752000000000001,0.278
162.5348545,-58.9721568,2.2280000000000006,5.842
161.8002978,-58.8975781,1.7229999999999999,6.46
163.8459948,-58.8935947,1.9450000000000003,7.75
227.0018267,-58.6883537,2.5740000000000007,6.034
218.7665067,-58.6702686,2.29,7.707
220.8139895,-58.6649605,1.8659999999999997,4.035
241.0113942,-58.622187,2.3859999999999992,8.022
164.4178865,-62.9385122,1.9429999999999996,7.714
182.228204,-62.9149045,1.92,5.106
208.02304,-62.80363,1.7219999999999995,7.929
171.6043376,-62.7883718,1.891,7.946
180.5417412,-62.7783144,1.7110000000000003,8.04
181.9412095,-62.7645698,2.2650000000000006,7.208
211.6819755,-62.7524379,2.5519999999999996,7.398
185.877064,-62.6917568,2.4190000000000005,5.191
199.1684461,-62.6612128,2.638,5.257
178.3903367,-62.6385122,2.4770000000000003,6.135
222.3280124,-62.6089434,1.6850000000000005,8.103
168.7408262,-62.5976449,2.3209999999999997,7.0
216.8391115,-62.5715135,2.346,8.019
0.2288087,-62.4873095,1.8610000000000007,8.363
264.3129763,-62.4802001,1.8949999999999996,8.194
185.645489,-62.4127336,2.253,8.095
206.9110306,-62.3978251,2.7620000000000005,6.798
228.408298,-62.3714128,2.6980000000000004,7.702
173.3011992,-62.3379633,2.616999999999999,5.923
173.592642,-62.3333835,2.255,6.101
172.980182,-62.2620803,3.1350000000000007,7.184
169.7876441,-62.2586247,2.2860000000000005,7.858
198.7035442,-62.2434389,3.008,4.343
170.8236946,-62.2129697,1.6920000000000002,8.576
171.6456001,-62.167974,1.5310000000000006,7.109
198.3609868,-62.1555197,2.2429999999999994,6.37
219.717221,-62.1484554,2.1660000000000004,8.279
212.5055474,-62.1066875,1.5980000000000008,8.439
185.1934364,-62.0960391,2.043000000000001,7.962
167.1593502,-62.0758816,2.482,7.675
158.8371875,-62.0747719,1.815999999999999,7.15
22.455687,-62.0336766,2.3549999999999995,7.101
161.8925327,-62.0179153,1.9610000000000003,8.155
212.2325259,-62.0165723,2.7669999999999995,5.779
183.7379847,-62.00827,2.1790000000000003,8.131
163.9021463,-61.9723662,1.8820000000000006,7.97
158.5747445,-61.9268444,2.317,7.029
101.7249815,-61.9023476,1.5350000000000001,8.252
166.4652914,-61.8731347,2.192,6.927
199.3630961,-61.8204555,3.724,6.459
198.4707045,-61.7631924,1.9920000000000009,7.584
166.6945538,-61.7629804,2.525999999999999,5.873
168.4380316,-61.733489,2.8289999999999997,7.345
174.062168,-61.7147743,3.018,6.672
167.9068145,-61.7057391,2.833000000000001,6.451
181.5484421,-61.5497043,2.263,8.116
162.7266981,-61.5452828,2.0170000000000003,7.767
166.7378746,-61.4729675,1.822000000000001,8.344
168.6360506,-61.3778634,2.9229999999999996,3.222
229.3770399,-61.3313293,2.7470000000000008,7.435
158.5836062,-61.1838798,1.543000000000001,8.324
213.3901105,-61.1692442,3.0380000000000003,6.128
161.417727,-61.1624867,1.766,8.134
166.045357,-61.0942275,2.644,4.539
