ra,dec
184.1903542,-63.279838
183.8046558,-63.2576842
174.1770786,-63.1468389
169.4730132,-63.080745
206.5678476,-63.0009848
164.8187481,-62.9842127
176.2924701,-62.9772741
200.4320709,-62.9550155
174.9666957,-62.9527686
333.2203025,-67.8874673
83.9478001,-67.7269072
5.1351427,-67.3512353
10.0644048,-67.2657832
225.2345866,-67.2368048
73.3969382,-66.9912202
92.5761864,-66.522258
74.0202269,-66.4190372
194.4144053,-66.0372978
236.0601582,-65.8015137
134.4324568,-65.7806297
267.6230481,-65.6224026
131.3597161,-65.4558859
15.5981685,-65.4279241
75.2735919,-65.3506646
170.39064,-64.9350291
89.6585993,-64.7879142
209.0553527,-64.4556666
191.3568259,-64.4117316
180.6979624,-64.3174141
175.4422507,-64.2654945
180.2139733,-64.2206088
172.2215912,-63.9519992
194.7083266,-63.9142333
174.4829762,-63.9051397
169.7432606,-63.780937
198.7052041,-63.7698353
161.2477917,-63.7380293
173.1443063,-63.6979121
182.4902012,-63.6934008
178.4624942,-63.6885592
201.9695049,-63.6424468
178.0551442,-63.5472744
182.1787271,-63.5412223
214.7113076,-63.4473106
173.2736414,-63.4342444
179.2297873,-63.394492
173.0321158,-63.382872
171.1997231,-63.3620758
180.6280609,-63.3570134
217.51435,-63.30071
185.6337997,-63.1738789
198.5130452,-63.1557032
164.606181,-63.1420456
176.0880809,-63.1334868
174.6589812,-63.1173452
172.975741,-63.1141216
81.8565297,-67.4962128
170.1238094,-62.8926482
228.9664615,-62.8812888
180.596427,-62.8508537
177.3264793,-62.8445058
178.56317,-62.81945
170.6129064,-62.7494282
169.9013087,-62.6441661
186.1172223,-62.6441021
221.9872147,-62.6436048
175.9639756,-62.6303973
181.7068167,-62.6117567
177.6506289,-62.5749018
173.3106976,-62.5069015
185.4302531,-62.4991872
166.3370092,-62.4768995
181.8904,-62.3842841
224.4545735,-62.3580738
209.5092637,-62.3092102
174.3406108,-62.2259866
174.3481587,-62.1765835
171.6980113,-62.1684603
166.2826743,-62.1467543
196.3844859,-62.1165746
172.5438548,-62.0907104
176.2417112,-62.0821227
179.4916508,-62.0530697
167.8912756,-62.0162183
307.7315772,-62.0013328
198.9823859,-61.9985398
39.6688404,-61.9464765
163.9170696,-61.9040582
190.5912686,-61.8691142
213.2863067,-61.8500893
216.4005077,-61.842981
166.7564265,-61.8420622
172.2864829,-61.8019973
167.6751266,-61.7217411
189.396645,-61.7160852
207.8719018,-61.7036739
164.0417274,-61.6900128
161.6731519,-61.6456688
330.5715364,-61.5967804
168.5746046,-61.5638645
203.1150036,-61.5362538
167.8094261,-61.4768961
170.1726168,-61.4640882
170.6603946,-61.425358
222.7746668,-61.4252948
328.8111311,-61.4172351
152.425063,-61.4043718
158.2734751,-61.3999953
157.6981219,-61.3196063
198.9726187,-61.3040177
53.6336219,-61.2897185
185.0376348,-61.2866994
196.2072579,-61.2597857
169.3510303,-61.1612913
162.69344,-61.1534506
163.4557922,-61.1375707
336.9183617,-61.1016129
204.03652,-61.00556
173.9728486,-60.8348857
210.3809004,-60.8211576
158.5854423,-60.7807177
165.5981728,-60.7354902
166.6637815,-60.6997454
173.564701,-60.6085548
165.5611042,-60.4895374
155.9928256,-60.4279556
166.7351064,-60.4095517
208.5057454,-60.3698837
169.2350972,-60.2497839
168.1487823,-60.2095049
185.6860976,-60.193066
161.2548105,-60.1808608
159.9383226,-60.1416055
160.8855035,-60.0285778
160.3430475,-60.0070887
232.5039172,-59.9722954
160.0837391,-59.970087
180.8315276,-59.9694261
159.2821313,-59.9528674
161.3957589,-59.9477493
167.1538414,-59.9326991
158.5924252,-59.8501325
158.5436872,-59.8392926
162.9229431,-59.8185589
222.3963339,-59.8016921
229.3219798,-59.7334528
171.7300909,-59.7077042
158.159689,-59.703053
233.5789104,-59.6411242
157.9854216,-59.6065774
220.1462809,-59.5643384
160.7511445,-59.4686461
161.1585015,-59.4624419
151.5149017,-59.4539978
158.6739859,-59.4418015
221.4601377,-59.4168548
221.4859719,-59.4093514
162.1445899,-59.3930815
221.9572345,-59.3123227
153.3215308,-59.2697381
229.8176179,-59.2542546
221.2097214,-59.2222953
20.0507895,-59.2021595
143.3392897,-59.2007665
154.3851098,-59.1879901
219.6014056,-59.1464925
156.4167111,-59.1358477
153.9209683,-59.0763869
221.0031712,-59.0493497
229.8898868,-59.0454742
160.3160545,-59.0254678
159.4853655,-59.0009955
161.7067925,-58.9487145
159.235921,-58.9318709
161.3842057,-58.902447
160.2918728,-58.8810069
217.666982,-58.875233
160.4468546,-58.8249776
157.6969148,-58.7935951
35.4496391,-58.7231311
316.9198731,-58.7144654
161.2965936,-58.6806722
153.0877316,-58.6187055
173.5740598,-62.9133606
184.7493741,-62.839839
209.8763551,-62.776335
182.6717935,-62.7277346
172.5125373,-62.7264225
214.569729,-62.7203626
192.0064083,-62.6791051
182.9148639,-62.6674041
183.5605738,-62.6631831
198.2086062,-62.6557517
211.77716,-62.61192
202.7190896,-62.5850893
183.5504109,-62.5580973
210.8463743,-62.5478823
5.1053261,-62.5472512
183.9814068,-62.4826113
164.3321438,-62.4774094
171.9020899,-62.4172306
167.73505,-62.39577
171.8924017,-62.3827968
198.4324338,-62.3373881
182.3928253,-62.32805
212.8237768,-62.2753509
218.4539852,-62.2698859
175.2635804,-62.2502896
163.5405572,-62.2490767
177.422475,-62.190942
196.8594805,-62.1517853
194.9260993,-62.1472708
184.6809145,-62.0818575
179.3870952,-62.056415
204.8661112,-62.0229896
170.6906032,-62.0101392
167.673901,-61.9161235
176.7623441,-61.8861394
154.971487,-61.8860012
183.1837252,-61.8327517
196.6356164,-61.8234646
213.4345559,-61.8135231
163.0816608,-61.7670713
196.8220749,-61.7439762
204.5893124,-61.6963869
182.5856541,-61.6914679
172.3732745,-61.6901537
224.6847593,-61.6040872
167.6630007,-61.536754
164.8506546,-61.4823532
157.4112972,-61.349413
229.2940842,-61.3351497
209.720259,-61.2918384
174.7276665,-61.2852761
160.8221179,-61.2185654
158.6228599,-61.2174743
197.826363,-61.2008419
168.0834693,-61.1772946
163.98719,-61.14845
211.5697702,-61.1076126
223.6328065,-61.0220514
165.8800622,-60.9545036
159.6447019,-60.9443439
172.4026372,-60.9352564
154.4956183,-60.8752539
160.2421947,-60.8439555
169.2878351,-60.8359366
169.1599666,-60.8241957
168.3163247,-60.8172324
146.273663,-60.8059154
156.7181592,-60.8036741
165.6344766,-60.7899334
169.1118225,-60.7605445
219.1948418,-60.715506
167.1672332,-60.7141849
168.4998308,-60.6070464
168.470117,-60.5983642
160.9700738,-60.5859814
164.3713767,-60.5059929
218.8024433,-60.4903456
216.3442856,-60.3457704
155.3179585,-60.3415633
162.5308306,-60.3316215
167.0397391,-60.3102077
166.7552017,-60.2915676
216.0006508,-60.275936
231.3408041,-60.2428685
166.2783838,-60.2417539
178.5248944,-60.2234887
170.8469569,-60.2178222
161.9376139,-60.2020623
162.8560413,-60.1466862
167.0581229,-60.10514
164.6910701,-60.0524682
160.7266813,-60.0498672
162.9635005,-60.0431019
156.0932621,-60.0155359
161.0400293,-60.0018867
162.9779347,-59.8904051
161.6939842,-59.8500857
160.0669203,-59.8428705
161.8510016,-59.8312912
227.9025088,-59.814079
177.0481226,-59.8075467
177.0423184,-59.7791065
163.4761498,-59.7553324
184.7517853,-59.6138317
161.8250157,-59.4941188
157.1658583,-59.426649
165.1194429,-59.4069105
205.4115658,-59.3701853
159.2271258,-59.3570158
150.8580101,-59.2930639
229.7400369,-59.2901969
207.027839,-59.1005246
161.0020772,-59.0496861
163.7806095,-59.0386585
223.7526891,-59.0188804
162.5348545,-58.9721568
161.8002978,-58.8975781
163.8459948,-58.8935947
227.0018267,-58.6883537
218.7665067,-58.6702686
220.8139895,-58.6649605
241.0113942,-58.622187
164.4178865,-62.9385122
182.228204,-62.9149045
208.02304,-62.80363
171.6043376,-62.7883718
180.5417412,-62.7783144
181.9412095,-62.7645698
211.6819755,-62.7524379
185.877064,-62.6917568
199.1684461,-62.6612128
178.3903367,-62.6385122
222.3280124,-62.6089434
168.7408262,-62.5976449
216.8391115,-62.5715135
0.2288087,-62.4873095
264.3129763,-62.4802001
185.645489,-62.4127336
206.9110306,-62.3978251
228.408298,-62.3714128
173.3011992,-62.3379633
173.592642,-62.3333835
172.980182,-62.2620803
169.7876441,-62.2586247
198.7035442,-62.2434389
170.8236946,-62.2129697
171.6456001,-62.167974
198.3609868,-62.1555197
219.717221,-62.1484554
212.5055474,-62.1066875
185.1934364,-62.0960391
167.1593502,-62.0758816
158.8371875,-62.0747719
22.455687,-62.0336766
161.8925327,-62.0179153
212.2325259,-62.0165723
183.7379847,-62.00827
163.9021463,-61.9723662
158.5747445,-61.9268444
101.7249815,-61.9023476
166.4652914,-61.8731347
199.3630961,-61.8204555
198.4707045,-61.7631924
166.6945538,-61.7629804
168.4380316,-61.733489
174.062168,-61.7147743
167.9068145,-61.7057391
181.5484421,-61.5497043
162.7266981,-61.5452828
166.7378746,-61.4729675
168.6360506,-61.3778634
229.3770399,-61.3313293
158.5836062,-61.1838798
213.3901105,-61.1692442
161.417727,-61.1624867
166.045357,-61.0942275
179.5509799,-60.9951856
211.5617249,-60.9187335
169.1300248,-60.7707911
161.0633662,-60.7565236
161.2240413,-60.7365697
159.2249994,-60.6768347
167.9893321,-60.5961405
160.2815819,-60.4761103
244.3307652,-60.4634585
222.26937,-60.45109
231.29197,-60.2373362
161.1245915,-60.1616183
164.1485001,-60.1490864
